InChIkey,Solvent,MW,SASA,G_sol,DeltaG_sol,Volume,sol_dip,LsoluHsolv,LsolvHsolu,O_charges,C_charges,Most_neg,Most_pos,Het_charges,LogS
YLQWCDOCJODRMT-UHFFFAOYNA-N,benzene,180.206,204.757,-22246.294,-429.0102790697638,330.292,0.604732,8.266000000000002,9.758,-0.49968,-0.79945,-0.49968,0.57133,-0.49968,0.416640507
YNPNZTXNASCQKK-UHFFFAOYNA-N,1-pentanol,178.233,209.472,-22897.196000000004,-515.6161666666703,330.292,0.604732,9.405,11.537,0.0,-1.63056,-0.17495,0.16729,0.0,-0.643974143
MWPLVEDNUUSJAV-UHFFFAOYNA-N,propionitrile,178.233,211.323,-21536.504,703.0144571428609,221.704,0.00190296,10.909,9.555,0.0,-1.6486,-0.19857,0.17155,0.0,-1.395906827
BXRFQSNOROATLV-UHFFFAOYNA-N,methanol,151.121,171.369,-22017.102,569.4409999999989,221.704,0.00190296,8.456,13.335,-1.55643,-0.1968099999999999,-0.54143,0.84623,-0.7101999999999999,-20.0
WJUFSDZVCOTFON-UHFFFAOYNA-N,acetonitrile,166.176,199.901,-25130.49,-2131.941833333334,221.704,0.00190296,11.777,10.35,-1.34302,-0.32247,-0.58184,0.45266,-1.34302,0.75982082
BSYNRYMUTXBXSQ-WXRBYKJCNA-N,1-octanol,180.16,197.813,-25251.826,-1077.5441500000052,204.94,3.01189,9.251,13.084,-2.06396,0.3266300000000001,-0.59224,0.71433,-2.06396,-0.665035578
WBYWAXJHAXSJNI-KZFATGLANA-N,benzene,148.161,186.426,-23166.57,-907.0343750000028,181.094,3.87862,8.703000000000001,10.162,-1.05875,-0.4438399999999999,-0.5719,0.65758,-1.05875,-0.627762745
RYYVLZVUVIJVGH-UHFFFAOYNA-N,benzene,194.193,207.188,-25444.858,-1502.6956666666665,181.094,3.87862,9.041,9.72,-1.13011,0.3056599999999999,-0.56611,0.67358,-2.13769,-1.259637311
RJKGJBPXVHTNJL-UHFFFAOYNA-N,ethanol,173.171,192.048,-22438.234,-287.71887804878133,197.675,7.16574,8.865,12.242,-1.01737,-1.06754,-0.51045,0.85982,-0.1575499999999999,-0.343398293
POULHZVOKOAJMA-NDKGDYFDNA-N,1-butanol,200.32,274.077,-29854.716,-873.015999999996,197.675,7.16574,10.673,13.832999999999998,-1.11938,-2.49569,-0.61718,0.67131,-1.11938,0.340408163
WXTMDXOMEHJXQO-KZFATGLANA-N,water,154.122,166.679,-22228.098,57.28314285714441,197.675,7.16574,10.515,13.218,-2.06881,0.3881099999999999,-0.58907,0.68212,-2.06881,-0.109020403
WURBFLDFSFBTLW-UHFFFAOYNA-N,1-octanol,210.232,240.046,-25882.802,-872.156204081628,197.675,7.16574,8.697,12.89,-1.00455,-0.67472,-0.50231,0.44692,-1.00455,-0.916470096
PDMMFKSKQVNJMI-BLQWBTBKNA-N,octane,344.493,358.9,-36829.56,-1136.2160000000003,197.675,7.16574,10.837,14.081,-1.5702,-3.35432,-0.56549,0.64693,-1.5702,-1.145766634
WMKGGPCROCCUDY-PHEQNACWNA-N,thf,234.297,290.712,-28789.680000000008,-683.4686666666748,301.358,5.32029,8.376999999999999,11.969,-0.60317,-1.73738,-0.60317,0.61832,-0.60317,0.170261715
CPJSUEIXXCENMM-WXRBYKJCNA-N,methanol,179.218,222.751,-25989.996,64.0984285714294,301.358,5.32029,10.238,11.524,-1.08651,-0.94636,-0.66045,0.66366,-1.52288,-0.262554329
BGRJTUBHPOOWDU-QDYITYEQNA-N,acetone,341.424,350.514,-34632.47,-454.00742857142177,394.581,10.9256,9.5,9.495,-3.05144,-1.75088,-0.99755,2.55651,-2.22082,-1.558456273
KGCNHWXDPDPSBV-UHFFFAOYNA-N,nitromethane,171.583,186.257,-22687.312,-2076.3978461538427,394.581,10.9256,9.671,9.751,-1.04168,-0.7992199999999999,-0.52091,0.85884,-0.3406199999999999,0.522754771
MWPLVEDNUUSJAV-UHFFFAOYNA-N,1-pentanol,178.233,211.323,-21533.547999999995,705.9704571428629,221.709,0.00245386,8.887,11.047,0.0,-1.64084,-0.19803,0.17074,0.0,-2.0
KZTYYGOKRVBIMI-UHFFFAOYNA-N,"1,4-dioxane",218.27,231.928,-26188.24200000001,19.541916666661564,249.753,6.78713,9.205,11.817,-1.91954,-2.08581,-0.95982,2.42449,0.50495,-0.029506914
IJFXRHURBJZNAO-BGGKNDAXNA-N,acetone,138.123,160.556,-21802.306,-659.0626666666722,154.63299999999998,2.35031,9.144,10.248,-1.56505,0.10643,-0.59794,0.64807,-1.56505,0.176872651
YLQWCDOCJODRMT-UHFFFAOYNA-N,dichloromethane,180.206,204.757,-22294.520000000004,-477.2362790697698,212.591,5.13923,9.413,9.527,-0.54478,-0.8039000000000001,-0.54478,0.5929,-0.54478,0.605305046
DFXQXFGFOLXAPO-KZFATGLANA-N,ethanol,201.566,197.247,-24681.206,-1414.3246470588238,212.591,5.13923,8.858,13.5,-2.01831,0.2170599999999999,-0.58734,0.8644,-1.18229,-0.259637311
OTLNPYWUJOZPPA-BGGKNDAXNA-N,2-methyl-2-propanol,167.121,179.704,-23263.006,-1387.4477297297235,212.591,5.13923,8.354,13.777,-2.04737,0.0677499999999999,-0.57839,0.84198,-1.20539,-0.823908741
ISAOCJYIOMOJEB-UHFFFAOYNA-N,2-isopropoxyethanol,212.248,241.087,-26500.254,-828.4813157894714,263.724,5.7887,8.822,11.714,-1.10409,-1.05368,-0.56225,0.49985,-1.10409,-1.051352593
KZTYYGOKRVBIMI-UHFFFAOYNA-N,1-chlorooctane,218.27,232.297,-26402.124,-194.3400833333326,263.724,5.7887,10.124,11.006,-1.96103,-2.09429,-0.98064,2.44364,0.4826099999999999,-1.161250494
SKCNYHLTRZIINA-UHFFFAOYNA-N,chloroform,162.018,173.447,-21941.846000000005,-453.5974285714328,171.725,3.98891,10.477,9.417,0.0,-0.35633,-0.35141,0.20039,-0.57026,-0.093264711
GVEPBJHOBDJJJI-UHFFFAOYNA-N,1-propanol,202.255,227.244,-23071.596,-507.6762040816284,171.725,3.98891,8.928,11.605,0.0,-1.65046,-0.15692,0.16792,0.0,-1.053056729
BSYNRYMUTXBXSQ-WXRBYKJCNA-N,2-ethyl-1-hexanol,180.16,197.894,-24946.914,-772.6321500000049,171.725,3.98891,9.144,13.124,-2.05608,0.3262299999999999,-0.58835,0.71244,-2.05608,-0.716698771
ILUJQPXNXACGAN-BGGKNDAXNA-N,water,152.149,179.026,-23855.408000000003,-971.7357837837916,177.21300000000002,4.6165,10.965,13.528,-1.49293,-0.0735499999999999,-0.61727,0.70391,-1.49293,-1.552841969
MWPLVEDNUUSJAV-UHFFFAOYNA-N,trifluoroethanol,178.233,211.323,-21536.702,702.816457142857,221.702,0.00272513,9.921,9.273,0.0,-1.64826,-0.19858,0.17151,0.0,-2.940704202
LPNBBFKOUUSUDB-BGGKNDAXNA-N,chloroform,136.15,170.096,-22127.42,-1334.9163999999982,221.702,0.00272513,10.627,9.296,-1.08417,-0.4980599999999999,-0.59664,0.6633,-1.08417,-0.565323548
CDVNZMKTJIBBBV-WXRBYKJCNA-N,4-methyl-2-pentanol,226.145,221.462,-26832.182,-1749.3373333333293,221.702,0.00272513,8.395,14.161,-2.98609,-0.16132,-0.56826,0.87659,-1.23739,-0.95777488
